garment_name,price,url
Girls Top and Leggings Set (Newborn-23 mths),£6.50,https://www.matalan.co.uk/product/detail/s2835296_c323/girls-top-and-leggings-set-newborn-23-mths-pink
Girls Frill Collar Snit Set (Newborn-23mths),£12.50,https://www.matalan.co.uk/product/detail/s2835154_c323/girls-frill-collar-snit-set-newborn-23mths-pink
Girls Bow Ribbed Snit Set (Newborn-23mths),£9.00,https://www.matalan.co.uk/product/detail/s2839382_c323/girls-bow-ribbed-snit-set-newborn-23mths-pink
Girls Bow Ribbed Snit Set (Newborn-23mths),£9.00,https://www.matalan.co.uk/product/detail/s2839387_c504/girls-bow-ribbed-snit-set-newborn-23mths-lilac
Boys 3D Ears Knitted Cardigan (Newborn-18mths),£10.00,https://www.matalan.co.uk/product/detail/s2816330_c128/boys-3d-ears-knitted-cardigan-newborn-18mths-blue
Unisex 2 Pack Jogger Leggings (Newborn-23mths),£4.00,https://www.matalan.co.uk/product/detail/s2782540_c270/unisex-2-pack-jogger-leggings-tiny-baby-23mths-navy
Unisex 3D Ears Knitted Cardigan (Newborn-18mths),£10.00,https://www.matalan.co.uk/product/detail/s2816333_c229/unisex-3d-ears-knitted-cardigan-newborn-18mths-grey
Unisex 3 Pack Dinosaur Leggings (Newborn-23mths),£7.00,https://www.matalan.co.uk/product/detail/s2837763_c47q/unisex-3-pack-dinosaur-leggings-newborn-23mths-multi
Unisex Navy Quilted Bear Snowsuit (Tiny Baby-18mths),£15.00,https://www.matalan.co.uk/product/detail/s2832245_c270/unisex-navy-quilted-bear-snowsuit-tiny-baby-18mths-navy
Girls Pink Faux Fur Bear Snowsuit (Tiny Baby-18mths),£15.00,https://www.matalan.co.uk/product/detail/s2832219_c323/girls-pink-faux-fur-bear-snowsuit-tiny-baby-18mths-pink
Unisex Ivory Teddy Fleece Bunny Snowsuit (Tiny Baby-18mths),£15.00,https://www.matalan.co.uk/product/detail/s2832249_c356/unisex-ivory-teddy-fleece-bunny-snowsuit-tiny-baby-18mths-ivory
Unisex Borg Charcoal Snowsuit (Newborn-18mths),£15.00,https://www.matalan.co.uk/product/detail/s2832240_c225/unisex-borg-charcoal-snowsuit-newborn-18mths-charcoal
Girls Pink Velour Dress (Newborn-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2821575_c323/girls-pink-velour-dress-newborn-23mths-pink
