index,title,code,price
0,"Телевизор JVC LT-24VH4900 LED 24.0 "", 61.0 см",Код: 10443,"299
.
99"
1,"Телевизор JVC LT-24VAH3000 LED SMART TV, ANDROID, 24.0 "", 60.0 см",Код: 10463,"299
.
99"
2,"Телевизор SANG LE-32Z17 LED 32.0 "", 81.0 см",Код: 13880,"309
.
99"
3,"Телевизор LG 24TL510V-PZ TV+MONITOR 23.6 "", 60.0 см",Код: 16468,"329
.
99"
4,"Телевизор LG 24TL510V-WZ TV+MONITOR 23.6 "", 60.0 см",Код: 16470,"329
.
99"
5,"Телевизор SHARP 24BB0E LED 24.0 "", 60.0 см",Код: 15013,"339
.
99"
6,"Телевизор JVC LT-32VH3905 LED 32.0 "", 81.0 см",Код: 10425,"349
.
99"
7,"Телевизор HISENSE 32A5100F LED 32.0 "", 80.0 см",Код: 17062,"349
.
99"
8,"Телевизор PHILIPS 32PHT5505 LED 32.0 "", 80.0 см",Код: 15564,"379
.
00"
9,"Телевизор PHILIPS 24PFS5535 12V LED 24.0 "", 60.0 см",Код: 15712,"379
.
99"
10,"Телевизор LG 24TN510S-PZ TV+MONITOR SMART TV, 23.6 "", 60.0 см",Код: 10259,"379
.
99"
11,"Телевизор PHILIPS 32PHS5525 LED 32.0 "", 80.0 см",Код: 15546,"379
.
99"
12,"Телевизор PHILIPS 32PHS5505 LED 32.0 "", 80.0 см",Код: 15553,"379
.
99"
13,"Телевизор SMARTTECH SMT-40N30FC LED 40.0 "", 100.3 см",Код: 17076,"389
.
99"
14,"Телевизор LG 24TN510S-WZ TV+MONITOR SMART TV, 23.6 "", 60.0 см",Код: 10228,"399
.
99"
15,"Телевизор LG 28TN515S-WZ SMART TV, 27.5 "", 70.0 см",Код: 10231,"399
.
99"
16,"Телевизор LG 28TN515V-WZ TV+MONITOR 27.5 "", 70.0 см",Код: 10234,"399
.
99"
17,"Телевизор LG 28TN515V-PZ TV+MONITOR 27.5 "", 70.0 см",Код: 10242,"399
.
99"
18,"Телевизор SHARP 24BC0E LED SMART TV, 24.0 "", 60.0 см",Код: 15014,"399
.
99"
19,"Телевизор SMARTTECH SMT-32N30HV LED SMART TV, 32.0 "", 80.0 см",Код: 17072,"399
.
99"
20,"Телевизор SHARP 32BC3E LED SMART TV, 32.0 "", 81.0 см",Код: 15010,"409
.
99"
21,"Телевизор TOSHIBA 32WA3B63DG LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 18342,"419
.
99"
22,"Телевизор TOSHIBA 32WA2063DG SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 18350,"419
.
99"
23,"Телевизор LG 28TN515S-PZ SMART TV, 27.5 "", 70.0 см",Код: 10233,"429
.
99"
24,"Телевизор JVC LT-32VAH3000 LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 10452,"429
.
99"
25,"Телевизор JVC LT-32VAF3000 LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 10456,"429
.
99"
26,"Телевизор HISENSE 32A5600F LED SMART TV, VIDAA, 32.0 "", 80.0 см",Код: 17064,"429
.
99"
27,"Телевизор SHARP 32BI5EA LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 14998,"439
.
99"
28,"Телевизор HISENSE 32A5700FA LED SMART TV, ANDROID, 32.0 "", 80.0 см",Код: 17079,"439
.
99"
29,"Телевизор LG 32LM550BPLB LED 32.0 "", 80.0 см",Код: 16446,"449
.
00"
30,"Телевизор JVC LT-24VH4900 LED 24.0 "", 61.0 см",Код: 10443,"299
.
99"
31,"Телевизор JVC LT-24VAH3000 LED SMART TV, ANDROID, 24.0 "", 60.0 см",Код: 10463,"299
.
99"
32,"Телевизор SANG LE-32Z17 LED 32.0 "", 81.0 см",Код: 13880,"309
.
99"
33,"Телевизор LG 24TL510V-PZ TV+MONITOR 23.6 "", 60.0 см",Код: 16468,"329
.
99"
34,"Телевизор LG 24TL510V-WZ TV+MONITOR 23.6 "", 60.0 см",Код: 16470,"329
.
99"
35,"Телевизор SHARP 24BB0E LED 24.0 "", 60.0 см",Код: 15013,"339
.
99"
36,"Телевизор JVC LT-32VH3905 LED 32.0 "", 81.0 см",Код: 10425,"349
.
99"
37,"Телевизор HISENSE 32A5100F LED 32.0 "", 80.0 см",Код: 17062,"349
.
99"
38,"Телевизор PHILIPS 32PHT5505 LED 32.0 "", 80.0 см",Код: 15564,"379
.
00"
39,"Телевизор PHILIPS 24PFS5535 12V LED 24.0 "", 60.0 см",Код: 15712,"379
.
99"
40,"Телевизор LG 24TN510S-PZ TV+MONITOR SMART TV, 23.6 "", 60.0 см",Код: 10259,"379
.
99"
41,"Телевизор PHILIPS 32PHS5525 LED 32.0 "", 80.0 см",Код: 15546,"379
.
99"
42,"Телевизор PHILIPS 32PHS5505 LED 32.0 "", 80.0 см",Код: 15553,"379
.
99"
43,"Телевизор SMARTTECH SMT-40N30FC LED 40.0 "", 100.3 см",Код: 17076,"389
.
99"
44,"Телевизор LG 24TN510S-WZ TV+MONITOR SMART TV, 23.6 "", 60.0 см",Код: 10228,"399
.
99"
45,"Телевизор LG 28TN515S-WZ SMART TV, 27.5 "", 70.0 см",Код: 10231,"399
.
99"
46,"Телевизор LG 28TN515V-WZ TV+MONITOR 27.5 "", 70.0 см",Код: 10234,"399
.
99"
47,"Телевизор LG 28TN515V-PZ TV+MONITOR 27.5 "", 70.0 см",Код: 10242,"399
.
99"
48,"Телевизор SHARP 24BC0E LED SMART TV, 24.0 "", 60.0 см",Код: 15014,"399
.
99"
49,"Телевизор SMARTTECH SMT-32N30HV LED SMART TV, 32.0 "", 80.0 см",Код: 17072,"399
.
99"
50,"Телевизор SHARP 32BC3E LED SMART TV, 32.0 "", 81.0 см",Код: 15010,"409
.
99"
51,"Телевизор TOSHIBA 32WA3B63DG LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 18342,"419
.
99"
52,"Телевизор TOSHIBA 32WA2063DG SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 18350,"419
.
99"
53,"Телевизор LG 28TN515S-PZ SMART TV, 27.5 "", 70.0 см",Код: 10233,"429
.
99"
54,"Телевизор JVC LT-32VAH3000 LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 10452,"429
.
99"
55,"Телевизор JVC LT-32VAF3000 LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 10456,"429
.
99"
56,"Телевизор HISENSE 32A5600F LED SMART TV, VIDAA, 32.0 "", 80.0 см",Код: 17064,"429
.
99"
57,"Телевизор SHARP 32BI5EA LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 14998,"439
.
99"
58,"Телевизор HISENSE 32A5700FA LED SMART TV, ANDROID, 32.0 "", 80.0 см",Код: 17079,"439
.
99"
59,"Телевизор LG 32LM550BPLB LED 32.0 "", 80.0 см",Код: 16446,"449
.
00"
60,"Телевизор JVC LT-24VH4900 LED 24.0 "", 61.0 см",Код: 10443,"299
.
99"
61,"Телевизор JVC LT-24VAH3000 LED SMART TV, ANDROID, 24.0 "", 60.0 см",Код: 10463,"299
.
99"
62,"Телевизор SANG LE-32Z17 LED 32.0 "", 81.0 см",Код: 13880,"309
.
99"
63,"Телевизор LG 24TL510V-PZ TV+MONITOR 23.6 "", 60.0 см",Код: 16468,"329
.
99"
64,"Телевизор LG 24TL510V-WZ TV+MONITOR 23.6 "", 60.0 см",Код: 16470,"329
.
99"
65,"Телевизор SHARP 24BB0E LED 24.0 "", 60.0 см",Код: 15013,"339
.
99"
66,"Телевизор JVC LT-32VH3905 LED 32.0 "", 81.0 см",Код: 10425,"349
.
99"
67,"Телевизор HISENSE 32A5100F LED 32.0 "", 80.0 см",Код: 17062,"349
.
99"
68,"Телевизор PHILIPS 32PHT5505 LED 32.0 "", 80.0 см",Код: 15564,"379
.
00"
69,"Телевизор PHILIPS 24PFS5535 12V LED 24.0 "", 60.0 см",Код: 15712,"379
.
99"
70,"Телевизор LG 24TN510S-PZ TV+MONITOR SMART TV, 23.6 "", 60.0 см",Код: 10259,"379
.
99"
71,"Телевизор PHILIPS 32PHS5525 LED 32.0 "", 80.0 см",Код: 15546,"379
.
99"
72,"Телевизор PHILIPS 32PHS5505 LED 32.0 "", 80.0 см",Код: 15553,"379
.
99"
73,"Телевизор SMARTTECH SMT-40N30FC LED 40.0 "", 100.3 см",Код: 17076,"389
.
99"
74,"Телевизор LG 24TN510S-WZ TV+MONITOR SMART TV, 23.6 "", 60.0 см",Код: 10228,"399
.
99"
75,"Телевизор LG 28TN515S-WZ SMART TV, 27.5 "", 70.0 см",Код: 10231,"399
.
99"
76,"Телевизор LG 28TN515V-WZ TV+MONITOR 27.5 "", 70.0 см",Код: 10234,"399
.
99"
77,"Телевизор LG 28TN515V-PZ TV+MONITOR 27.5 "", 70.0 см",Код: 10242,"399
.
99"
78,"Телевизор SHARP 24BC0E LED SMART TV, 24.0 "", 60.0 см",Код: 15014,"399
.
99"
79,"Телевизор SMARTTECH SMT-32N30HV LED SMART TV, 32.0 "", 80.0 см",Код: 17072,"399
.
99"
80,"Телевизор SHARP 32BC3E LED SMART TV, 32.0 "", 81.0 см",Код: 15010,"409
.
99"
81,"Телевизор TOSHIBA 32WA3B63DG LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 18342,"419
.
99"
82,"Телевизор TOSHIBA 32WA2063DG SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 18350,"419
.
99"
83,"Телевизор LG 28TN515S-PZ SMART TV, 27.5 "", 70.0 см",Код: 10233,"429
.
99"
84,"Телевизор JVC LT-32VAH3000 LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 10452,"429
.
99"
85,"Телевизор JVC LT-32VAF3000 LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 10456,"429
.
99"
86,"Телевизор HISENSE 32A5600F LED SMART TV, VIDAA, 32.0 "", 80.0 см",Код: 17064,"429
.
99"
87,"Телевизор SHARP 32BI5EA LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 14998,"439
.
99"
88,"Телевизор HISENSE 32A5700FA LED SMART TV, ANDROID, 32.0 "", 80.0 см",Код: 17079,"439
.
99"
89,"Телевизор LG 32LM550BPLB LED 32.0 "", 80.0 см",Код: 16446,"449
.
00"
90,"Телевизор JVC LT-24VH4900 LED 24.0 "", 61.0 см",Код: 10443,"299
.
99"
91,"Телевизор JVC LT-24VAH3000 LED SMART TV, ANDROID, 24.0 "", 60.0 см",Код: 10463,"299
.
99"
92,"Телевизор SANG LE-32Z17 LED 32.0 "", 81.0 см",Код: 13880,"309
.
99"
93,"Телевизор LG 24TL510V-PZ TV+MONITOR 23.6 "", 60.0 см",Код: 16468,"329
.
99"
94,"Телевизор LG 24TL510V-WZ TV+MONITOR 23.6 "", 60.0 см",Код: 16470,"329
.
99"
95,"Телевизор SHARP 24BB0E LED 24.0 "", 60.0 см",Код: 15013,"339
.
99"
96,"Телевизор JVC LT-32VH3905 LED 32.0 "", 81.0 см",Код: 10425,"349
.
99"
97,"Телевизор HISENSE 32A5100F LED 32.0 "", 80.0 см",Код: 17062,"349
.
99"
98,"Телевизор PHILIPS 32PHT5505 LED 32.0 "", 80.0 см",Код: 15564,"379
.
00"
99,"Телевизор PHILIPS 24PFS5535 12V LED 24.0 "", 60.0 см",Код: 15712,"379
.
99"
100,"Телевизор LG 24TN510S-PZ TV+MONITOR SMART TV, 23.6 "", 60.0 см",Код: 10259,"379
.
99"
101,"Телевизор PHILIPS 32PHS5525 LED 32.0 "", 80.0 см",Код: 15546,"379
.
99"
102,"Телевизор PHILIPS 32PHS5505 LED 32.0 "", 80.0 см",Код: 15553,"379
.
99"
103,"Телевизор SMARTTECH SMT-40N30FC LED 40.0 "", 100.3 см",Код: 17076,"389
.
99"
104,"Телевизор LG 24TN510S-WZ TV+MONITOR SMART TV, 23.6 "", 60.0 см",Код: 10228,"399
.
99"
105,"Телевизор LG 28TN515S-WZ SMART TV, 27.5 "", 70.0 см",Код: 10231,"399
.
99"
106,"Телевизор LG 28TN515V-WZ TV+MONITOR 27.5 "", 70.0 см",Код: 10234,"399
.
99"
107,"Телевизор LG 28TN515V-PZ TV+MONITOR 27.5 "", 70.0 см",Код: 10242,"399
.
99"
108,"Телевизор SHARP 24BC0E LED SMART TV, 24.0 "", 60.0 см",Код: 15014,"399
.
99"
109,"Телевизор SMARTTECH SMT-32N30HV LED SMART TV, 32.0 "", 80.0 см",Код: 17072,"399
.
99"
110,"Телевизор SHARP 32BC3E LED SMART TV, 32.0 "", 81.0 см",Код: 15010,"409
.
99"
111,"Телевизор TOSHIBA 32WA3B63DG LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 18342,"419
.
99"
112,"Телевизор TOSHIBA 32WA2063DG SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 18350,"419
.
99"
113,"Телевизор LG 28TN515S-PZ SMART TV, 27.5 "", 70.0 см",Код: 10233,"429
.
99"
114,"Телевизор JVC LT-32VAH3000 LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 10452,"429
.
99"
115,"Телевизор JVC LT-32VAF3000 LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 10456,"429
.
99"
116,"Телевизор HISENSE 32A5600F LED SMART TV, VIDAA, 32.0 "", 80.0 см",Код: 17064,"429
.
99"
117,"Телевизор SHARP 32BI5EA LED SMART TV, ANDROID, 32.0 "", 81.0 см",Код: 14998,"439
.
99"
118,"Телевизор HISENSE 32A5700FA LED SMART TV, ANDROID, 32.0 "", 80.0 см",Код: 17079,"439
.
99"
119,"Телевизор LG 32LM550BPLB LED 32.0 "", 80.0 см",Код: 16446,"449
.
00"
120,"Телевизор JVC LT-24VH4900 LED 24.0 "", 61.0 см",Код: 10443,"299
.
99"
121,"Телевизор JVC LT-24VAH3000 LED SMART TV, ANDROID, 24.0 "", 60.0 см",Код: 10463,"299
.
99"
122,"Телевизор SANG LE-32Z17 LED 32.0 "", 81.0 см",Код: 13880,"309
.
99"
123,"Телевизор LG 24TL510V-PZ TV+MONITOR 23.6 "", 60.0 см",Код: 16468,"329
.
99"
124,"Телевизор LG 24TL510V-WZ TV+MONITOR 23.6 "", 60.0 см",Код: 16470,"329
.
99"
125,"Телевизор SHARP 24BB0E LED 24.0 "", 60.0 см",Код: 15013,"339
.
99"
126,"Телевизор JVC LT-32VH3905 LED 32.0 "", 81.0 см",Код: 10425,"349
.
99"
127,"Телевизор HISENSE 32A5100F LED 32.0 "", 80.0 см",Код: 17062,"349
.
99"
128,"Телевизор PHILIPS 32PHT5505 LED 32.0 "", 80.0 см",Код: 15564,"379
.
00"
129,"Телевизор PHILIPS 24PFS5535 12V LED 24.0 "", 60.0 см",Код: 15712,"379
.
99"
130,"Телевизор LG 24TN510S-PZ TV+MONITOR SMART TV, 23.6 "", 60.0 см",Код: 10259,"379
.
99"
131,"Телевизор PHILIPS 32PHS5525 LED 32.0 "", 80.0 см",Код: 15546,"379
.
99"
132,"Телевизор PHILIPS 32PHS5505 LED 32.0 "", 80.0 см",Код: 15553,"379
.
99"
133,"Телевизор SMARTTECH SMT-40N30FC LED 40.0 "", 100.3 см",Код: 17076,"389
.
99"
134,"Телевизор LG 24TN510S-WZ TV+MONITOR SMART TV, 23.6 "", 60.0 см",Код: 10228,"399
.
99"
135,"Телевизор LG 28TN515S-WZ SMART TV, 27.5 "", 70.0 см",Код: 10231,"399
.
99"
136,"Телевизор LG 28TN515V-WZ TV+MONITOR 27.5 "", 70.0 см",Код: 10234,"399
.
99"
137,"Телевизор LG 28TN515V-PZ TV+MONITOR 27.5 "", 70.0 см",Код: 10242,"399
.
99"
138,"Телевизор SHARP 24BC0E LED SMART TV, 24.0 "", 60.0 см",Код: 15014,"399
.
99"
139,"Телевизор SMARTTECH SMT-32N30HV LED SMART TV, 32.0 "", 80.0 см",Код: 17072,"399
.
99"
140,"Телевизор SHARP 32BC3E LED SMART TV, 32.0 "", 81.0 см",Код: 15010,"409
.
99"
